"text","created","url","latitude","longitude","retweets","hashtag"
"I want to live in #Iowa again and be this idiot<e2><80><99>s worst nightmare.  #ResignGrassley #Focus #TrumpShutDown<e2><80><a6> https://t.co/EfKCu8Ne9X",2018-12-22 01:24:24,"https://twitter.com/regina_smith67/status/1076287302475923457",NA,NA,0,"#nobannowall"
"""The family<e2><80><99>s extreme case serves as a tragic reminder of the damage the travel ban has inflicted on families all o<e2><80><a6> https://t.co/Rm39vqcoUy",2018-12-22 00:33:32,"https://twitter.com/CAIRSacramento/status/1076274503099928576",NA,NA,1,"#nobannowall"
"Courage. Empathy. Love.

Three things you won<e2><80><99>t find in walls.
#NoBanNoWall https://t.co/UB0ZzqFc3o",2018-12-22 00:17:23,"https://twitter.com/HeyMichaelKing/status/1076270439784169472",NA,NA,0,"#nobannowall"
"Why don<e2><80><99>t we just let everyone who wants the wall buy a brick with their name on it? That way the wall gets built,<e2><80><a6> https://t.co/m1mZCD7Znr",2018-12-22 00:12:50,"https://twitter.com/jidk1187/status/1076269292809789440",NA,NA,0,"#nobannowall"
"no one is illegal on stolen land #nobannowall",2018-12-22 00:09:50,"https://twitter.com/lulbabybrax/status/1076268537965146112",NA,NA,0,"#nobannowall"
"Thank you @SenSchumer and @NancyPelosi for fighting @realDonaldTrump. #TrumpShutDown is on @realDonaldTrump. Keep u<e2><80><a6> https://t.co/8PLuSWPAaD",2018-12-21 23:56:40,"https://twitter.com/jimbosuff/status/1076265226381807616",NA,NA,0,"#nobannowall"
"I think my husband has funding for about 2 more weeks if the #shutdown happens tonight &amp; lasts <e2><80><9c>a very long time.<e2><80><9d><e2><80><a6> https://t.co/fDtE3IfF19",2018-12-21 23:10:00,"https://twitter.com/Mama_Kat76/status/1076253481609187328",NA,NA,0,"#nobannowall"
"Newsflash: We have a militarized and secure border. The number of people trying to cross in the last several years<e2><80><a6> https://t.co/AgM6PoUFZ9",2018-12-21 23:08:21,"https://twitter.com/T_Brian_Malone/status/1076253066926665730",NA,NA,1,"#nobannowall"
"THANK YOU #JohnRoberts.

See - you really CAN'T ever predict the future.  Who knew #JohnRoberts would be the voice<e2><80><a6> https://t.co/6kh8fNNEKS",2018-12-21 22:52:50,"https://twitter.com/TornadoesBoreMe/status/1076249163183071233",NA,NA,0,"#nobannowall"
"Grow a spine, @SenBobCorker - in your last days as senator, show what senators are for.  #NoBanNoWall https://t.co/b2gXD7Hymn",2018-12-21 22:45:43,"https://twitter.com/laurabrevitz/status/1076247371993022464",NA,NA,0,"#nobannowall"
"The #NoBanNoWall fight continues. https://t.co/aidRLXPBNM",2018-12-21 22:18:14,"https://twitter.com/CAIRMass/status/1076240452121214981",NA,NA,0,"#nobannowall"
"@DougJones #NoBanNoWall #NoBorderWall please vote NO! https://t.co/aK4kDIxpzu",2018-12-21 22:17:12,"https://twitter.com/therealm0mster/status/1076240195681366016",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/L9DWxQQIXi",2018-12-21 22:01:29,"https://twitter.com/gia1haiti/status/1076236239907491840",NA,NA,0,"#nobannowall"
"Justice Roberts may very well be the new Justice Kennedy! ""Supreme Court turns down Trump request to restart asylum<e2><80><a6> https://t.co/3pxAvzzNkT",2018-12-21 22:01:10,"https://twitter.com/crusader666/status/1076236160656003072",NA,NA,0,"#nobannowall"
"Another victory! PAIR Project is elated by the Supreme Court's 5-4 decision to uphold the 9th Circuit's injunction,<e2><80><a6> https://t.co/NUY6uYTRev",2018-12-21 21:43:59,"https://twitter.com/PAIRProject_Bos/status/1076231835175272448",NA,NA,0,"#nobannowall"
"BREAKING: The Supreme Court upholds the  District Court ruling on Trump's asylum ban. This is a huge blow for his x<e2><80><a6> https://t.co/7gNFDdis9d",2018-12-21 21:40:46,"https://twitter.com/KillenMedia/status/1076231027033600000",NA,NA,0,"#nobannowall"
"More about why we're taking a stand to #LogOutFacebook - https://t.co/XhRQxsRvyi

#rohingya #genocide #reformfacebook #refugees #nobannowall",2018-12-21 21:38:02,"https://twitter.com/3Generations/status/1076230338404380672",NA,NA,1,"#nobannowall"
"@brianschatz @RonaldKlain Please Senator<f0><9f><99><8f> Make sure @SenSchumer holds firm &amp; doesn<e2><80><99>t cave to this racist wall. #NoBanNoWall",2018-12-21 21:26:50,"https://twitter.com/RiseUpAbove/status/1076227520096284672",NA,NA,1,"#nobannowall"
"The construction of a border wall and continued increase in a militarized border risks escalating the already serio<e2><80><a6> https://t.co/hrYtzlnMYo",2018-12-21 21:25:35,"https://twitter.com/GREUBELINUX/status/1076227204508459019",NA,NA,0,"#nobannowall"
"#NoBanNoWall anniversary coming up. https://t.co/paLvNTCTsd",2018-12-21 21:06:07,"https://twitter.com/SqueakilyJr/status/1076222306517536768",NA,NA,1,"#nobannowall"
"Happy Friday, @realdonaldtrump!
#Repost porcupinecheeks 
#NoBanNoWall
#MagaMyAss https://t.co/bOIdW6voRb",2018-12-21 20:31:40,"https://twitter.com/Leenav1202/status/1076213637742612481",NA,NA,0,"#nobannowall"
"@realDonaldTrump Dotard on December 11, 2018: <e2><80><9c>I would be proud to shut the government down, Chuck. I will take the<e2><80><a6> https://t.co/4usdO0PkY4",2018-12-21 20:12:36,"https://twitter.com/GodlessSecret/status/1076208838150373382",NA,NA,0,"#nobannowall"
"Don<e2><80><99>t give in!! Say no to the border wall and fight this administration<e2><80><99>s xenophobic agenda! Please call your senat<e2><80><a6> https://t.co/7wwLGpJjVd",2018-12-21 19:57:22,"https://twitter.com/CAIRSacramento/status/1076205004032139264",NA,NA,0,"#nobannowall"
"Gee I wonder if @senatemajldr has brought up for a vote the bipartisan legislation to protect #Mueller #Senators wo<e2><80><a6> https://t.co/uhYj6dqEXg",2018-12-21 18:56:20,"https://twitter.com/MaloneyMonica/status/1076189643966697472",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/8IAqgez4VU",2018-12-21 18:13:34,"https://twitter.com/MegGran89608768/status/1076178881688657920",NA,NA,1,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/kyVnc6b4Ev",2018-12-21 17:56:17,"https://twitter.com/NuBonita/status/1076174531406880768",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/pEUrcZHmsV",2018-12-21 17:53:50,"https://twitter.com/gayla_mixon/status/1076173915842588672",NA,NA,0,"#nobannowall"
